Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
8.209.236.193/32,8.209.236.193,(no PTR),45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",ALICLOUD-JP,100,619,2026-08-08T19:04:09+00:00,Data Center/Web Hosting/Transit,alibaba-inc.com
4.225.166.176/32,4.225.166.176,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,947,2026-08-08T21:25:38+00:00,Data Center/Web Hosting/Transit,microsoft.com
4.232.147.36/32,4.232.147.36,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1376,2026-08-08T21:21:15+00:00,Data Center/Web Hosting/Transit,microsoft.com
18.218.230.153/32,18.218.230.153,ec2-18-218-230-153.us-east-2.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z,85,91,2026-07-27T10:44:05+00:00,Data Center/Web Hosting/Transit,amazon.com
20.91.140.156/32,20.91.140.156,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1230,2026-08-08T19:51:34+00:00,Data Center/Web Hosting/Transit,microsoft.com
20.215.185.25/32,20.215.185.25,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1532,2026-08-08T21:25:05+00:00,Data Center/Web Hosting/Transit,microsoft.com
24.144.104.83/32,24.144.104.83,prod-boron-nyc1-60.do.binaryedge.ninja,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-24-144-64-0,100,332,2026-08-08T21:04:12+00:00,Data Center/Web Hosting/Transit,digitalocean.com
31.14.254.18/32,31.14.254.18,31-14-254-18.infrawat.ch,25369,"BANDWIDTH-AS - Hydra Communications Ltd, GB",INFRAWATCH,100,978,2026-08-08T09:43:37+00:00,Fixed Line ISP,infrawat.ch
34.81.28.243/32,34.81.28.243,243.28.81.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGL-2,100,347,2026-08-08T21:00:13+00:00,Data Center/Web Hosting/Transit,google.com
34.140.237.175/32,34.140.237.175,175.237.140.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGL-2,83,26,2026-07-30T22:04:42+00:00,Data Center/Web Hosting/Transit,google.com
