Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
3.130.168.2/32,3.130.168.2,scan.visionheight.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z,100,9174,2026-08-09T14:53:57+00:00,Data Center/Web Hosting/Transit,amazon.com
5.61.209.0/24,5.61.209.0,(no PTR),206264,"AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC",AMARUTU-NL16,14,12,2026-08-08T17:04:46+00:00,Data Center/Web Hosting/Transit,koddos.net
8.209.236.193/32,8.209.236.193,(no PTR),45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",ALICLOUD-JP,100,623,2026-08-09T10:31:17+00:00,Data Center/Web Hosting/Transit,alibaba-inc.com
9.234.8.52/32,9.234.8.52,azpdcgjpwmec.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",cloud,100,1561,2026-08-09T12:05:13+00:00,Data Center/Web Hosting/Transit,microsoft.com
16.58.56.214/32,16.58.56.214,scan.visionheight.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AMAZO-4,100,11654,2026-08-09T05:00:19+00:00,Data Center/Web Hosting/Transit,amazon.com
18.116.101.0/24,18.116.101.0,ec2-18-116-101-0.us-east-2.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z,0,0,Never,Data Center/Web Hosting/Transit,amazon.com
18.145.97.224/32,18.145.97.224,ec2-18-145-97-224.us-west-1.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AMAZON-SFO,60,12,2026-08-02T23:36:23+00:00,Data Center/Web Hosting/Transit,amazon.com
18.217.229.190/32,18.217.229.190,ec2-18-217-229-190.us-east-2.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z,100,90,2026-08-02T08:26:30+00:00,Data Center/Web Hosting/Transit,amazon.com
18.218.118.203/32,18.218.118.203,scan.visionheight.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z,100,11280,2026-08-09T13:31:22+00:00,Data Center/Web Hosting/Transit,amazon.com
20.29.23.166/32,20.29.23.166,azpdcg9mstn5.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1602,2026-08-09T14:04:22+00:00,Data Center/Web Hosting/Transit,microsoft.com
