CIDR/IP,Sample IP,PTR Record,ASN,ASN Description,Owner
184.105.136.0/22,184.105.136.0,(no PTR / NXDOMAIN),398885,"AERWAVE - Aerwave, Inc., US",HURRICANE-11
141.212.0.0/16,141.212.0.0,(no PTR / NXDOMAIN),36375,"UMICH-AS-5 - University of Michigan, US",UMICH-2
162.243.128.0/19,162.243.128.0,(no PTR / NXDOMAIN),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-162-243-0-0
71.6.232.0/24,71.6.232.0,(no PTR / NXDOMAIN),10439,"CARINET - CariNet, Inc., US",CARINET-5
94.102.49.0/24,94.102.49.0,(no PTR / NXDOMAIN),202425,"INT-NETWORK - IP Volume inc, SC",NET-4-49
35.203.210.0/23,35.203.210.0,0.210.203.35.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGLE-CLOUD
18.116.101.0/24,18.116.101.0,ec2-18-116-101-0.us-east-2.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",AT-88-Z
94.26.106.0/24,94.26.106.0,(no PTR / NXDOMAIN),197170,"TECHTIES-AS - TechTies Inc., SC",IPV4
216.180.246.0/24,216.180.246.0,(no PTR / NXDOMAIN),396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",NET-216-180-246-0-24
194.26.29.0/24,194.26.29.0,(no PTR / NXDOMAIN),NA,NA,RU-MEDIA-LAND-20191120
192.241.0.0/16,192.241.0.0,(no PTR / NXDOMAIN),749,"DNIC-AS-00749 - United States Department of Defense (DoD), US",DNIC-SNET-192-241-000
198.199.0.0/16,198.199.0.0,(no PTR / NXDOMAIN),NA,NA,OCSSA1
65.49.1.0/24,65.49.1.0,scan.shadowserver.org,6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-CE2897-409C062A
216.218.206.0/24,216.218.206.0,(no PTR / NXDOMAIN),6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-1
74.82.47.0/24,74.82.47.0,scan.shadowserver.org,6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-CE2897-FBF64106
185.242.226.0/24,185.242.226.0,(no PTR / NXDOMAIN),202425,"INT-NETWORK - IP Volume inc, SC",AISPERA
69.5.169.0/24,69.5.169.0,(no PTR / NXDOMAIN),25369,"BANDWIDTH-AS - Hydra Communications Ltd, GB",INFRAWATCH
45.156.128.0/24,45.156.128.0,(no PTR / NXDOMAIN),211680,"AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT",INAP-AMS-1
109.105.210.0/24,109.105.210.0,(no PTR / NXDOMAIN),21859,"ZEN-ECN - Zenlayer Inc, US",ICG-ZEN-DFW
