Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
3.85.190.121/32,3.85.190.121,ec2-3-85-190-121.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AMAZON-IAD,100,346,2026-08-12T12:29:34+00:00,Data Center/Web Hosting/Transit,amazon.com
4.232.185.206/32,4.232.185.206,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1830,2026-08-12T15:53:06+00:00,Data Center/Web Hosting/Transit,microsoft.com
20.219.14.223/32,20.219.14.223,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,223,2026-08-12T15:24:30+00:00,Data Center/Web Hosting/Transit,microsoft.com
23.180.120.146/32,23.180.120.146,(no PTR),53514,"UHQ - UHQ Services LLC, US",NET-UHQ-202406,100,245,2026-08-12T12:38:32+00:00,Data Center/Web Hosting/Transit,uhq.services
34.140.54.37/32,34.140.54.37,37.54.140.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGL-2,100,21,2026-08-12T12:14:51+00:00,Data Center/Web Hosting/Transit,google.com
34.205.18.102/32,34.205.18.102,ec2-34-205-18-102.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AT-88-Z,100,316,2026-08-12T15:53:15+00:00,Data Center/Web Hosting/Transit,amazon.com
34.227.14.187/32,34.227.14.187,ec2-34-227-14-187.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AT-88-Z,100,356,2026-08-12T15:17:17+00:00,Data Center/Web Hosting/Transit,amazon.com
35.233.69.31/32,35.233.69.31,31.69.233.35.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGLE-CLOUD,100,474,2026-08-12T15:28:55+00:00,Data Center/Web Hosting/Transit,google.com
35.240.97.242/32,35.240.97.242,242.97.240.35.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGLE-CLOUD,100,185,2026-08-12T15:37:23+00:00,Data Center/Web Hosting/Transit,google.com
43.130.110.130/32,43.130.110.130,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACE-SG,100,422,2026-08-12T14:00:34+00:00,Data Center/Web Hosting/Transit,apnic.net
43.133.69.37/32,43.133.69.37,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,530,2026-08-12T10:51:19+00:00,Data Center/Web Hosting/Transit,apnic.net
43.135.133.241/32,43.135.133.241,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,425,2026-08-12T10:29:44+00:00,Data Center/Web Hosting/Transit,apnic.net
43.135.164.228/32,43.135.164.228,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,84,84,2026-08-12T03:08:05+00:00,Data Center/Web Hosting/Transit,apnic.net
43.153.107.22/32,43.153.107.22,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,414,2026-08-12T09:26:06+00:00,Data Center/Web Hosting/Transit,apnic.net
43.157.22.109/32,43.157.22.109,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,604,2026-08-12T11:38:24+00:00,Data Center/Web Hosting/Transit,apnic.net
43.159.136.201/32,43.159.136.201,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACE-SG,100,410,2026-08-12T11:56:21+00:00,Data Center/Web Hosting/Transit,apnic.net
43.160.225.169/32,43.160.225.169,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,559,2026-08-12T13:03:48+00:00,Data Center/Web Hosting/Transit,tencent.com
43.160.241.129/32,43.160.241.129,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,527,2026-08-12T08:54:14+00:00,Data Center/Web Hosting/Transit,tencent.com
43.164.133.138/32,43.164.133.138,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,616,2026-08-12T12:56:44+00:00,Data Center/Web Hosting/Transit,tencent.com
43.164.196.47/32,43.164.196.47,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,646,2026-08-12T15:32:31+00:00,Data Center/Web Hosting/Transit,tencent.com
43.166.132.142/32,43.166.132.142,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,411,2026-08-12T03:03:04+00:00,Data Center/Web Hosting/Transit,tencent.com
43.166.224.244/32,43.166.224.244,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,588,2026-08-12T14:52:36+00:00,Data Center/Web Hosting/Transit,tencent.com
